# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4273		2288		1089
1		3649		4309		1260
2		3407		6166		1301
3		3267		7917		1344
4		3183		9578		1413
5		3078		11212		1452
6		2999		12771		1478
7		2939		14302		1492
8		2878		15788		1505
9		2809		17255		1517
10		2772		18666		1519
11		2718		20054		1524
12		2694		21415		1541
13		2656		22742		1538
14		2636		24044		1561
15		2606		25336		1557
16		2566		26612		1564
17		2555		27861		1567
18		2530		29078		1573
19		2511		30282		1582
20		2492		31464		1572
21		2468		32634		1575
22		2446		33775		1580
23		2421		34881		1584
24		2407		35981		1584
25		2385		37073		1587
26		2371		38157		1590
27		2365		39229		1588
28		2358		40313		1603
29		2343		41380		1606
30		2321		42432		1602
31		2308		43465		1598
32		2286		44493		1611
33		2265		45494		1616
34		2253		46482		1614
35		2238		47457		1621
36		2231		48421		1615
37		2221		49382		1618
38		2210		50326		1620
39		2201		51269		1623
40		2199		52207		1618
41		2192		53142		1627
42		2178		54079		1627
43		2169		55001		1627
44		2160		55919		1624
45		2153		56829		1628
46		2149		57734		1624
47		2149		58631		1621
48		2153		59527		1628
49		2149		60428		1621
50		2143		61329		1624
51		2144		62218		1621
52		2132		63107		1627
53		2134		63989		1622
54		2127		64869		1624
55		2125		65741		1625
56		2120		66620		1627
57		2117		67486		1628
58		2111		68354		1629
59		2105		69213		1625
60		2103		70069		1632
61		2097		70919		1630
62		2092		71758		1631
63		2091		72596		1633
64		2088		73435		1630
65		2086		74268		1626
66		2080		75095		1629
67		2079		75917		1630
68		2075		76736		1627
69		2067		77548		1625
70		2068		78359		1627
71		2066		79163		1624
72		2058		79963		1626
73		2053		80759		1627
74		2048		81548		1627
75		2050		82332		1628
76		2045		83114		1628
77		2039		83892		1632
78		2035		84662		1633
79		2034		85426		1633
80		2029		86188		1634
81		2032		86945		1637
82		2028		87701		1637
83		2024		88451		1638
84		2024		89202		1635
85		2020		89945		1632
86		2016		90688		1632
87		2016		91424		1633
88		2013		92159		1636
89		2012		92892		1636
90		2009		93623		1638
91		2006		94352		1638
92		2002		95076		1643
93		1999		95798		1644
94		1996		96518		1643
95		1997		97235		1643
96		1995		97951		1643
97		1995		98665		1644
98		1993		99377		1643
99		1993		100087		1643
100		1990		100798		1641
101		1990		101506		1641
102		1988		102213		1642
103		1986		102917		1643
104		1984		103619		1644
105		1983		104319		1642
106		1981		105019		1642
107		1980		105716		1643
108		1979		106411		1643
109		1980		107106		1643
110		1978		107802		1643
111		1979		108495		1643
112		1978		109188		1643
113		1979		109881		1643
114		1976		110574		1644
115		1977		111263		1644
116		1976		111952		1644
117		1976		112640		1642
118		1974		113328		1641
119		1974		114014		1643
120		1972		114696		1642
121		1973		115377		1642
122		1971		116057		1644
123		1969		116737		1642
124		1967		117413		1643
125		1966		118084		1640
126		1965		118753		1640
127		1963		119423		1643
128		1962		120086		1643
129		1961		120747		1643
130		1958		121406		1644
131		1958		122060		1646
132		1955		122713		1647
133		1955		123361		1647
134		1955		124010		1648
135		1956		124660		1648
136		1956		125311		1647
137		1955		125958		1647
138		1954		126603		1647
139		1952		127247		1648
140		1949		127890		1650
141		1948		128527		1651
142		1949		129165		1650
143		1948		129803		1651
144		1944		130443		1653
145		1944		131074		1654
146		1942		131706		1654
147		1941		132335		1654
148		1938		132962		1654
149		1937		133583		1653
150		1933		134200		1654
151		1930		134812		1656
152		1929		135418		1658
153		1930		136025		1657
154		1930		136633		1659
155		1930		137241		1658
156		1928		137847		1660
157		1928		138452		1659
158		1925		139056		1663
159		1923		139657		1662
160		1922		140253		1662
161		1922		140849		1660
162		1921		141446		1662
163		1921		142041		1660
164		1920		142636		1662
165		1918		143231		1664
166		1918		143824		1665
167		1917		144415		1665
168		1917		145006		1667
169		1916		145594		1668
